PLAYER,OverseasIndian,TYPE,PRICE PAID,Team
Daryl Mitchell,Overseas,All-Rounder,"₹14,00,00,000",Chennai Super Kings
Sameer Rizvi,Indian,Batter,"₹8,40,00,000",Chennai Super Kings
Shardul Thakur,Indian,All-Rounder,"₹4,00,00,000",Chennai Super Kings
Mustafizur Rahman,Overseas,Bowler,"₹2,00,00,000",Chennai Super Kings
Rachin Ravindra,Overseas,All-Rounder,"₹1,80,00,000",Chennai Super Kings
Avanish Rao Aravelly,Indian,Wicket-Keeper,"₹20,00,000",Chennai Super Kings
Kumar Kushagra,Indian,Wicket-Keeper,"₹7,20,00,000",Delhi Capitals
Jhye Richardson,Overseas,Bowler,"₹5,00,00,000",Delhi Capitals
Harry Brook,Overseas,Batter,"₹4,00,00,000",Delhi Capitals
Sumit Kumar,Indian,All-Rounder,"₹1,00,00,000",Delhi Capitals
Shai Hope,Overseas,Wicket-Keeper,"₹75,00,000",Delhi Capitals
Tristan Stubbs,Overseas,Wicket-Keeper,"₹50,00,000",Delhi Capitals
Ricky Bhui,Indian,Wicket-Keeper,"₹20,00,000",Delhi Capitals
Swastik Chhikara,Indian,Batter,"₹20,00,000",Delhi Capitals
Rasikh Dar,Indian,Bowler,"₹20,00,000",Delhi Capitals
Spencer Johnson,Overseas,Bowler,"₹10,00,00,000",Gujarat Titans
Shahrukh Khan,Indian,All-Rounder,"₹7,40,00,000",Gujarat Titans
Umesh Yadav,Indian,Bowler,"₹5,80,00,000",Gujarat Titans
Robin Minz,Indian,Wicket-Keeper,"₹3,60,00,000",Gujarat Titans
Sushant Mishra,Indian,Bowler,"₹2,20,00,000",Gujarat Titans
Kartik Tyagi,Indian,Bowler,"₹60,00,000",Gujarat Titans
Azmatullah Omarzai,Overseas,All-Rounder,"₹50,00,000",Gujarat Titans
Manav Suthar,Indian,Bowler,"₹20,00,000",Gujarat Titans
Mitchell Starc,Overseas,Bowler,"₹24,75,00,000",Kolkata Knight Riders
Mujeeb Rahman,Overseas,Bowler,"₹2,00,00,000",Kolkata Knight Riders
Sherfane Rutherford,Overseas,Batter,"₹1,50,00,000",Kolkata Knight Riders
Gus Atkinson,Overseas,Bowler,"₹1,00,00,000",Kolkata Knight Riders
Manish Pandey,Indian,Batter,"₹50,00,000",Kolkata Knight Riders
K.S. Bharat,Indian,Wicket-Keeper,"₹50,00,000",Kolkata Knight Riders
Chetan Sakariya,Indian,Bowler,"₹50,00,000",Kolkata Knight Riders
Angkrish Raghuvanshi,Indian,Batter,"₹20,00,000",Kolkata Knight Riders
Ramandeep Singh,Indian,All-Rounder,"₹20,00,000",Kolkata Knight Riders
Sakib Hussain,Indian,Bowler,"₹20,00,000",Kolkata Knight Riders
Shivam Mavi,Indian,Bowler,"₹6,40,00,000",Lucknow Super Giants
M. Siddharth,Indian,Bowler,"₹2,40,00,000",Lucknow Super Giants
David Willey,Overseas,All-Rounder,"₹2,00,00,000",Lucknow Super Giants
Ashton Turner,Overseas,Batter,"₹1,00,00,000",Lucknow Super Giants
Arshin Kulkarni,Indian,All-Rounder,"₹20,00,000",Lucknow Super Giants
Mohd. Arshad Khan,Indian,All-Rounder,"₹20,00,000",Lucknow Super Giants
Gerald Coetzee,Overseas,All-Rounder,"₹5,00,00,000",Mumbai Indians
Nuwan Thushara,Overseas,Bowler,"₹4,80,00,000",Mumbai Indians
Dilshan Madushanka,Overseas,Bowler,"₹4,60,00,000",Mumbai Indians
Mohammad Nabi,Overseas,All-Rounder,"₹1,50,00,000",Mumbai Indians
Shreyas Gopal,Indian,Bowler,"₹20,00,000",Mumbai Indians
Shivalik Sharma,Indian,All-Rounder,"₹20,00,000",Mumbai Indians
Anshul Kamboj,Indian,All-Rounder,"₹20,00,000",Mumbai Indians
Naman Dhir,Indian,All-Rounder,"₹20,00,000",Mumbai Indians
Harshal Patel,Indian,All-Rounder,"₹11,75,00,000",Punjab Kings
Rilee Rossouw,Overseas,Batter,"₹8,00,00,000",Punjab Kings
Chris Woakes,Overseas,All-Rounder,"₹4,20,00,000",Punjab Kings
Tanay Thyagarajann,Indian,All-Rounder,"₹20,00,000",Punjab Kings
Vishwanath Pratap Singh,Indian,All-Rounder,"₹20,00,000",Punjab Kings
Ashutosh Sharma,Indian,All-Rounder,"₹20,00,000",Punjab Kings
Shashank Singh,Indian,Batter,"₹20,00,000",Punjab Kings
Prince Choudhary,Indian,Bowler,"₹20,00,000",Punjab Kings
Rovman Powell,Overseas,Batter,"₹7,40,00,000",Rajasthan Royals
Shubham Dubey,Indian,Batter,"₹5,80,00,000",Rajasthan Royals
Nandre Burger,Overseas,Bowler,"₹50,00,000",Rajasthan Royals
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,"₹40,00,000",Rajasthan Royals
Abid Mushtaq,Indian,All-Rounder,"₹20,00,000",Rajasthan Royals
Alzarri Joseph,Overseas,Bowler,"₹11,50,00,000",Royal Challengers Bangalore
Yash Dayal,Indian,Bowler,"₹5,00,00,000",Royal Challengers Bangalore
Lockie Ferguson,Overseas,Bowler,"₹2,00,00,000",Royal Challengers Bangalore
Tom Curran,Overseas,All-Rounder,"₹1,50,00,000",Royal Challengers Bangalore
Saurav Chuahan,Indian,Batter,"₹20,00,000",Royal Challengers Bangalore
Swapnil Singh,Indian,All-Rounder,"₹20,00,000",Royal Challengers Bangalore
Pat Cummins,Overseas,All-Rounder,"₹20,50,00,000",Sunrisers Hyderabad
Travis Head,Overseas,Batter,"₹6,80,00,000",Sunrisers Hyderabad
Jaydev Unadkat,Indian,Bowler,"₹1,60,00,000",Sunrisers Hyderabad
Wanindu Hasaranga,Overseas,All-Rounder,"₹1,50,00,000",Sunrisers Hyderabad
Jhathavedh Subramanyan,Indian,Bowler,"₹20,00,000",Sunrisers Hyderabad
Akash Singh,Indian,Bowler,"₹20,00,000",Sunrisers Hyderabad